"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1743203",-7.16638555555553,65.6337736842105,-2.45088299550274,0.0249393569872065,0.643713090996158,-3.90154380890852,"OR51G2","Not Significant"
"ILMN_1664823",9.49874333333335,74.7035052631579,2.45077346560457,0.0249449705976116,0.643713090996158,-3.90160876172303,"TAOK3","Not Significant"
"ILMN_1880775",-13.4099077777777,78.4262315789474,-2.45037742211682,0.0249652784746125,0.643713090996158,-3.90184361786323,"","Not Significant"
"ILMN_1762787",108.34677,369.643015789474,2.45025636152284,0.0249714891855922,0.643713090996158,-3.9019154064571,"RNF26","Not Significant"
"ILMN_1790988",-4.82822666666664,59.6328947368421,-2.45010311703837,0.0249793530934173,0.643713090996158,-3.90200627929743,"OR5K1","Not Significant"
"ILMN_1667665",19.9546233333334,87.7153,2.45010131998855,0.0249794453247956,0.643713090996158,-3.90200734492991,"C16orf46","Not Significant"
"ILMN_1870292",-5.98196222222219,66.2492210526316,-2.4498742719004,0.0249911008650323,0.643713090996158,-3.90214198128415,"","Not Significant"
"ILMN_1840756",-4.87597777777776,56.1901736842105,-2.44971520105786,0.0249992698305605,0.643713090996158,-3.90223630703855,"","Not Significant"
"ILMN_1876463",-23.612031111111,109.951826315789,-2.44866835756512,0.0250530923450028,0.643713090996158,-3.90285704239032,"","Not Significant"
"ILMN_1795511",8.51918666666671,63.0134157894737,2.44866189812381,0.0250534247891938,0.643713090996158,-3.90286087245905,"","Not Significant"
"ILMN_1651652",11.2335077777778,67.3058947368421,2.44825949145592,0.0250741433883967,0.643713090996158,-3.90309947314069,"RTN3","Not Significant"
"ILMN_1700449",-16.3760477777777,88.9769052631579,-2.44805020265826,0.0250849253464775,0.643713090996158,-3.90322356544759,"MAGEA9","Not Significant"
"ILMN_1901003",-3.34009555555551,47.9320105263158,-2.4477460878079,0.0251006002367696,0.643713090996158,-3.90340387971236,"","Not Significant"
"ILMN_1678150",-9.63111444444439,81.6414368421053,-2.44753250215462,0.0251116145131426,0.643713090996158,-3.90353051596678,"OR6S1","Not Significant"
"ILMN_1794651",10.8771033333334,64.5668578947368,2.44742847726406,0.0251169805578941,0.643713090996158,-3.90359219240266,"","Not Significant"
"ILMN_1725633",7.09804777777781,58.9469368421053,2.44742645014309,0.025117085136089,0.643713090996158,-3.90359339428053,"MACROD2","Not Significant"
"ILMN_1714433",2407.91712333333,4705.52736842105,2.44737029709374,0.0251199822075431,0.643713090996158,-3.90362668730797,"MARCKSL1","Not Significant"
"ILMN_1883680",-9.37809999999999,72.8367578947368,-2.44734206383889,0.0251214389479962,0.643713090996158,-3.90364342670591,"LOC105371907","Not Significant"
"ILMN_1692368",8.19688555555556,66.2585947368421,2.4473102996635,0.0251230779669115,0.643713090996158,-3.90366225954167,"DLX2","Not Significant"
"ILMN_1825735",-5.78028444444443,60.4771894736842,-2.44722868409104,0.025127289759097,0.643713090996158,-3.9037106488866,"SAMD8","Not Significant"
